city_name,year,R,R的平方,p值,RMSE,样本数量
桂林市,2020,0.9874,0.9749,5.798900e-24,0.0147,30.0
梅州市,2010,0.8047,0.6475,4.871900e-08,0.4766,31.0
梅州市,2020,0.8785,0.7717,8.248500e-11,0.3655,31.0
梧州市,2010,0.481,0.2314,6.155600e-03,0.2102,31.0
梧州市,2020,0.8962,0.8031,9.492200e-12,0.1451,31.0
楚雄彝族自治州,2010,0.8008,0.6413,1.072000e-07,0.2021,30.0
楚雄彝族自治州,2020,0.8346,0.6965,9.927200e-09,0.2042,30.0
榆林市,2010,0.2149,0.0462,2.629600e-01,0.0902,29.0
榆林市,2020,0.9403,0.8842,1.237900e-14,0.063,30.0
武威市,2010,0.6072,0.3687,2.920100e-04,0.2011,31.0
武威市,2020,0.5537,0.3066,1.231000e-03,0.1952,31.0
武汉市,2010,0.9614,0.9243,3.152700e-17,0.0258,30.0
武汉市,2020,0.6653,0.4426,6.041600e-05,0.0826,30.0
毕节市,2010,0.2601,0.0677,1.575900e-01,0.7895,31.0
毕节市,2020,0.6405,0.4102,1.041500e-04,0.7152,31.0
永州市,2010,0.5365,0.2878,2.240200e-03,0.0264,30.0
永州市,2020,0.8051,0.6482,2.385500e-07,0.0149,28.0
